DATE,CAPTION,TYPE,RETWEET,REPLIES,LIKES,QUOTES
2022-07-05,"Maboresho yaliyofanywa na Mhe. Rais Samia Suluhu katika Shule ya Sekondari Ziba mkoani Tabora, yamechangia ufaulu wa wanafunzi hadi shule kuingia 10 bora kitaifa matokeo ya kidato cha sita 2022. #MamaYukoKazini https://t.co/EnAHHCfEq3",RT,8,0,0,0
2022-07-05,"UWAJIBIKAJI SERIKALINI

Jukumu la msingi la aliyekabidhiwa madaraka ni kuwatumikia Watanzania.

Chini ya uongozi wa Mhe. Rais Samia Suluhu, wakurugenzi na wakuu wa idara TAMISEMI watapimwa kuhakikisha wanatimiza wajibu wao ili kuendelea kuhudumu katika nafasi zao. #MamaYukoKazini https://t.co/rCytp2P14w",RT,9,0,0,0
2022-07-05,"Julai 7 Mhe. Rais Samia Suluhu atashiriki Mkutano Jumuiya ya Maendeleo ya Kimataifa, Senegal utakaojikita kwenye nyanja hizi 5, ambazo pia ni vipaumbele vyetu;

Mabadiliko ya kiuchumi

Kilimo na usalama wa chakula

Rasilimali watu

Bunifu za kidijitali

Nishati

#MamaYukoKazini https://t.co/SB6aSnlmIn",RT,12,0,0,0
2022-07-05,"Bajeti ya Serikali mwaka 2022/23 ni TZS trilioni 41.48. Lengo la Mhe. Rais Samia Suluhu ni kuona fedha za kufadhili nusu ya bajeti zinatokana na bandari.

Kufanikiwa kwa hilo kutaambatana na kuzalisha ajira zaidi kwa Watanzania. #MamaYukoKazini https://t.co/HixSa8JU4h",RT,22,0,0,0
2022-07-04,"Serikali ya Awamu ya Sita imetoa ajira mpya 1,605 kada ya afya kuziba uhitaji uliotokana na kupanuliwa hospitali, huduma, ujenzi wa vituo vya afya &amp; kuongezeka kwa vifaa tiba vya kisasa
Jitihada hizi zinalenga kujenga jamii yenye afya bora kwa maendeleo ya Taifa #MamaYukoKazini https://t.co/cqwdhNUaUX",POST,2,3,22,0
2022-07-04,"Kwa kutambua mchango wake katika kuboresha afya ya uzazi Tanzania, Hospitali ya CCBRT imelipa jengo la Afya ya Mama na Mtoto jina la Mhe. Rais Samia Suluhu Hassan.

Sasa linafahamika kama Samia Suluhu Hassan Maternity Wing. #MamaYukoKazini https://t.co/UQpTMaTclK",RT,17,0,0,0
2022-07-04,"Serikali ya Awamu ya Sita imetoa ajira mpya 1,605 kada ya afya kuziba uhitaji uliotokana na kupanuliwa hospitali, huduma, ujenzi wa vituo vya afya &amp; kuongezeka kwa vifaa tiba vya kisasa. Jitihada hizi zinalenga kujenga jamii yenye afya bora kwa maendeleo ya Taifa. #MamaYukoKazini https://t.co/tI8cs6Op2A",RT,17,0,0,0
2022-07-04,"Tusiwe wa watumwa wa sheria zetu wenyewe ....
Badala ya kutupelekeka mbele zinaturudisha nyuma. Mama anasema.
#MamaYukoKazini https://t.co/tV2d9uQEQq",RT,3,0,0,0
2022-07-04,...Huko kwenye mitandao kuna Jamhuri ya Twitter na huku kwenye michezo tujenge Jamhuri ya Wapambanaji - Rais Samia Suluhu Hassan #MamaYukoKazini https://t.co/nICvIvvUba,POST,4,1,21,0
2022-07-04,"Rais Samia akemea Ubakaji kwenye jamii ambao unaongeza idadi kubwa ya watoto wanaopata ugonjwa wa fistula nchini. Ataka wahusika wa ubakaji wapelekwe kwenye vyombo vya sheria. 

#MamaYukoKazini https://t.co/1GgiNeISp4",RT,1,0,0,0
2022-07-04,"... Uchumi wetu unazidi kuimarika

- Samia Suluhu Hassan https://t.co/8iVCnexRvm",POST,2,1,16,0
2022-07-04,"Katika utiaji saini "" Raisi Samia Suluhu Hassan alisema gharama ya usafiri inakisiwa kushuka kwa 40% kutoka iliyopo sasa hivi pia mradi huu utatoa ajira za moja kwa moja na zisizo za moja kwa moja  kwa wananchi wote. Reli hii itapita ndani ya mikoa 9 nchini
#MamaYukoKazini https://t.co/oTRonckVyt",RT,6,0,0,0
2022-07-04,"...Huyu nae anaomba hela ya Ada kata kata 

#MamaYukoKazini https://t.co/dpl9KFO38J",POST,1,0,8,0
2022-07-03,"...Mhe Rais Samia Suluhu ametengua uteuzi wa Mkurugenzi Mkuu TPA, Eric Hamissi, saa chache baada ya kueleza haridhishwi na kasi ya bandari.

Kiu ya Rais ni kuona ufanisi wa bandari zetu ili zizalishe fedha za kufadhili bajeti, hivyo kupunguza utegemezi kutoka nje #MamaYukoKazini https://t.co/3Bxf86UVwo",POST,0,1,7,1
2022-07-03,"...Sasa mtu hawezi kupotea mitaa ina majina kabsa 

#MamaYukoKazini https://t.co/2R0jw1suv0",POST,5,0,26,0
